Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,10,6,6,8,8,9,2,9,"0,000%",",30833","0,60","0,00"
/P1-base/procesapago,10,23,19,30,30,77,6,77,"0,000%",",30813","0,38","0,00"
Total,20,14,8,27,30,77,2,77,"0,000%",",57605","0,91","0,00"
