Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,7500,4,2,10,18,33,0,58,"0,000%","140,40211","272,69","0,00"
/P1-base/procesapago,7500,9,7,20,28,44,3,87,"0,000%","138,69369","169,81","0,00"
Total,15000,6,5,16,24,38,0,87,"0,000%","271,32133","429,58","0,00"
