Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,27500,1369,661,1743,4543,19986,0,71014,"0,000%","213,10230","414,05","0,00"
/P1-base/procesapago,27500,1404,672,1793,4598,23078,3,65668,"0,000%","211,95422","259,81","0,00"
Total,55000,1387,666,1771,4569,20822,0,71014,"0,000%","419,58149","664,77","0,00"
