Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,25000,1179,667,1864,3387,16899,0,65600,"0,000%","200,43454","389,43","0,00"
/P1-base/procesapago,25000,1197,683,1872,3598,16861,3,65418,"0,000%","199,72199","244,80","0,00"
Total,50000,1188,675,1870,3483,16892,0,65600,"0,000%","395,17570","626,08","0,00"
