Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/P1-base/comienzapago,17500,247,238,490,523,671,0,1057,"0,000%","297,16420","577,31","0,00"
/P1-base/procesapago,17500,257,247,499,532,678,3,1055,"0,000%","299,38071","366,84","0,00"
Total,35000,252,242,495,528,675,0,1057,"0,000%","582,11090","922,08","0,00"
